year,event_id,match_id,match_date,match_surface,match_court,match_round,tournament_name,tournament_city,tournament_draw,loser_name,winner_name,match_score,match_time,loser_aces_all,loser_aces_1st,loser_aces_2nd,loser_aces_3rd,loser_aces_4th,loser_aces_5th,winner_aces_all,winner_aces_1st,winner_aces_2nd,winner_aces_3rd,winner_aces_4th,winner_aces_5th,loser_double_faults_all,loser_double_faults_1st,loser_double_faults_2nd,loser_double_faults_3rd,loser_double_faults_4th,loser_double_faults_5th,winner_double_faults_all,winner_double_faults_1st,winner_double_faults_2nd,winner_double_faults_3rd,winner_double_faults_4th,winner_double_faults_5th,loser_serve_rating_all,loser_serve_rating_1st,loser_serve_rating_2nd,loser_serve_rating_3rd,loser_serve_rating_4th,loser_serve_rating_5th,winner_serve_rating_all,winner_serve_rating_1st,winner_serve_rating_2nd,winner_serve_rating_3rd,winner_serve_rating_4th,winner_serve_rating_5th,loser_first_serve_all,loser_first_serve_1st,loser_first_serve_2nd,loser_first_serve_3rd,loser_first_serve_4th,loser_first_serve_5th,winner_first_serve_all,winner_first_serve_1st,winner_first_serve_2nd,winner_first_serve_3rd,winner_first_serve_4th,winner_first_serve_5th,loser_first_serve_points_all,loser_first_serve_points_1st,loser_first_serve_points_2nd,loser_first_serve_points_3rd,loser_first_serve_points_4th,loser_first_serve_points_5th,winner_first_serve_points_all,winner_first_serve_points_1st,winner_first_serve_points_2nd,winner_first_serve_points_3rd,winner_first_serve_points_4th,winner_first_serve_points_5th,loser_second_serve_points_all,loser_second_serve_points_1st,loser_second_serve_points_2nd,loser_second_serve_points_3rd,loser_second_serve_points_4th,loser_second_serve_points_5th,winner_second_serve_points_all,winner_second_serve_points_1st,winner_second_serve_points_2nd,winner_second_serve_points_3rd,winner_second_serve_points_4th,winner_second_serve_points_5th,loser_break_points_saved_all,loser_break_points_saved_1st,loser_break_points_saved_2nd,loser_break_points_saved_3rd,loser_break_points_saved_4th,loser_break_points_saved_5th,winner_break_points_saved_all,winner_break_points_saved_1st,winner_break_points_saved_2nd,winner_break_points_saved_3rd,winner_break_points_saved_4th,winner_break_points_saved_5th,loser_service_games_played_all,loser_service_games_played_1st,loser_service_games_played_2nd,loser_service_games_played_3rd,loser_service_games_played_4th,loser_service_games_played_5th,winner_service_games_played_all,winner_service_games_played_1st,winner_service_games_played_2nd,winner_service_games_played_3rd,winner_service_games_played_4th,winner_service_games_played_5th,loser_return_rating_all,loser_return_rating_1st,loser_return_rating_2nd,loser_return_rating_3rd,loser_return_rating_4th,loser_return_rating_5th,winner_return_rating_all,winner_return_rating_1st,winner_return_rating_2nd,winner_return_rating_3rd,winner_return_rating_4th,winner_return_rating_5th,loser_first_serve_return_points_all,loser_first_serve_return_points_1st,loser_first_serve_return_points_2nd,loser_first_serve_return_points_3rd,loser_first_serve_return_points_4th,loser_first_serve_return_points_5th,winner_first_serve_return_points_all,winner_first_serve_return_points_1st,winner_first_serve_return_points_2nd,winner_first_serve_return_points_3rd,winner_first_serve_return_points_4th,winner_first_serve_return_points_5th,loser_second_serve_return_points_all,loser_second_serve_return_points_1st,loser_second_serve_return_points_2nd,loser_second_serve_return_points_3rd,loser_second_serve_return_points_4th,loser_second_serve_return_points_5th,winner_second_serve_return_points_all,winner_second_serve_return_points_1st,winner_second_serve_return_points_2nd,winner_second_serve_return_points_3rd,winner_second_serve_return_points_4th,winner_second_serve_return_points_5th,loser_break_points_converted_all,loser_break_points_converted_1st,loser_break_points_converted_2nd,loser_break_points_converted_3rd,loser_break_points_converted_4th,loser_break_points_converted_5th,winner_break_points_converted_all,winner_break_points_converted_1st,winner_break_points_converted_2nd,winner_break_points_converted_3rd,winner_break_points_converted_4th,winner_break_points_converted_5th,loser_total_service_points_won_all,loser_total_service_points_won_1st,loser_total_service_points_won_2nd,loser_total_service_points_won_3rd,loser_total_service_points_won_4th,loser_total_service_points_won_5th,winner_total_service_points_won_all,winner_total_service_points_won_1st,winner_total_service_points_won_2nd,winner_total_service_points_won_3rd,winner_total_service_points_won_4th,winner_total_service_points_won_5th,loser_total_return_points_won_all,loser_total_return_points_won_1st,loser_total_return_points_won_2nd,loser_total_return_points_won_3rd,loser_total_return_points_won_4th,loser_total_return_points_won_5th,winner_total_return_points_won_all,winner_total_return_points_won_1st,winner_total_return_points_won_2nd,winner_total_return_points_won_3rd,winner_total_return_points_won_4th,winner_total_return_points_won_5th,loser_total_points_won_all,loser_total_points_won_1st,loser_total_points_won_2nd,loser_total_points_won_3rd,loser_total_points_won_4th,loser_total_points_won_5th,winner_total_points_won_all,winner_total_points_won_1st,winner_total_points_won_2nd,winner_total_points_won_3rd,winner_total_points_won_4th,winner_total_points_won_5th
2022,7696,2022/7696/MS021,2022-11-08,Hard,Centre Court,"",Intesa Sanpaolo Next Gen ATP Finals,Milan,8,Chun-Hsin Tseng,Dominic Stricker,"4-2, 4-1, 4-2",00:56:46,0,0,0,0,,,6,2,2,2,,,0,0,0,0,,,0,0,0,0,,,215,171,217,252,,,295,222,338,338,,,26/45,8/16,8/12,10/17,"","",29/47,9/19,10/14,10/14,"","",14/26,3/8,4/8,7/10,"","",24/29,6/9,9/10,9/10,"","",10/19,4/8,2/4,4/7,"","",10/18,4/10,3/4,3/4,"","",3/7,2/4,1/2,0/1,"","",4/5,4/5,0/0,0/0,"","",8,3,2,3,,,9,3,3,3,,,92,146,35,35,,,200,229,200,206,,,5/29,3/9,1/10,1/10,"","",12/26,5/8,4/8,3/10,"","",8/18,6/10,1/4,1/4,"","",9/19,4/8,2/4,3/7,"","",1/5,1/5,0/0,0/0,"","",4/7,2/4,1/2,1/1,"","",24/45,7/16,6/12,11/17,"","",34/47,10/19,12/14,12/14,"","",13/47,9/19,2/14,2/14,"","",21/45,9/16,6/12,6/17,"","",37/92,16/35,8/26,13/31,"","",55/92,19/35,18/26,18/31,"",""
2022,352,2022/352/MS001,2022-10-31,Hard,Court Central,Final,Rolex Paris Masters,Paris,56,Novak Djokovic,Holger Rune,"3-6, 6-3, 7-5",02:33:07,8,2,4,2,,,6,0,2,4,,,2,1,1,0,,,7,4,1,2,,,280,321,268,244,,,267,244,293,264,,,51/80,16/26,11/20,24/34,"","",69/109,14/22,20/36,35/51,"","",42/51,14/16,10/11,18/24,"","",49/69,10/14,16/20,23/35,"","",14/29,7/10,4/9,3/10,"","",19/40,3/8,9/16,7/16,"","",0/3,0/0,0/1,0/2,"","",10/12,0/1,3/3,7/8,"","",15,5,4,6,,,15,4,5,6,,,112,217,64,119,,,190,43,190,228,,,20/69,4/14,4/20,12/35,"","",9/51,2/16,1/11,6/24,"","",21/40,5/8,7/16,9/16,"","",15/29,3/10,5/9,7/10,"","",2/12,1/1,0/3,1/8,"","",3/3,0/0,1/1,2/2,"","",56/80,21/26,14/20,21/34,"","",68/109,13/22,25/36,30/51,"","",41/109,9/22,11/36,21/51,"","",24/80,5/26,6/20,13/34,"","",97/189,30/48,25/56,42/85,"","",92/189,18/48,31/56,43/85,"",""
2022,352,2022/352/MS002,2022-10-31,Hard,Court Central,Semifinal,Rolex Paris Masters,Paris,56,Felix Auger-Aliassime,Holger Rune,"6-4, 6-2",01:27:45,4,2,2,,,,5,2,3,,,,2,1,1,,,,1,1,0,,,,240,254,223,,,,309,273,317,,,,47/64,21/32,26/32,"","","",37/47,24/27,13/20,"","","",30/47,15/21,15/26,"","","",32/37,20/24,12/13,"","","",6/17,4/11,2/6,"","","",4/10,0/3,4/7,"","","",5/8,1/2,4/6,"","","",0/0,0/0,0/0,"","","",9,5,4,,,,9,5,4,,,,74,117,51,,,,172,163,192,,,,5/37,4/24,1/13,"","","",17/47,6/21,11/26,"","","",6/10,3/3,3/7,"","","",11/17,7/11,4/6,"","","",0/0,0/0,0/0,"","","",3/8,1/2,2/6,"","","",36/64,19/32,17/32,"","","",36/47,20/27,16/20,"","","",11/47,7/27,4/20,"","","",28/64,13/32,15/32,"","","",47/111,26/59,21/52,"","","",64/111,33/59,31/52,"","",""
2022,352,2022/352/MS003,2022-10-31,Hard,Court Central,Semifinal,Rolex Paris Masters,Paris,56,Stefanos Tsitsipas,Novak Djokovic,"6-2, 3-6, 7-6",02:19:48,9,3,4,2,,,11,2,5,4,,,1,1,0,0,,,0,0,0,0,,,284,220,305,300,,,316,350,243,340,,,61/89,16/24,15/23,30/42,"","",49/78,11/17,20/29,18/32,"","",44/61,10/16,11/15,23/30,"","",41/49,11/11,13/20,17/18,"","",14/28,3/8,5/8,6/12,"","",21/29,5/6,4/9,12/14,"","",4/6,0/2,0/0,4/4,"","",0/2,0/0,0/2,0/0,"","",14,4,4,6,,,15,4,5,6,,,157,17,231,20,,,125,251,65,73,,,8/49,0/11,7/20,1/18,"","",17/61,6/16,4/15,7/30,"","",8/29,1/6,5/9,2/14,"","",14/28,5/8,3/8,6/12,"","",2/2,0/0,2/2,0/0,"","",2/6,2/2,0/0,0/4,"","",58/89,13/24,16/23,29/42,"","",62/78,16/17,17/29,29/32,"","",16/78,1/17,12/29,3/32,"","",31/89,11/24,7/23,13/42,"","",74/167,14/41,28/52,32/74,"","",93/167,27/41,24/52,42/74,"",""
2022,352,2022/352/MS004,2022-10-31,Hard,Court Central,Quarterfinal,Rolex Paris Masters,Paris,56,Carlos Alcaraz,Holger Rune,"6-3, 6-6",01:40:16,3,1,2,,,,5,3,2,,,,1,1,0,,,,3,1,2,,,,292,251,324,,,,314,314,311,,,,38/60,16/27,22/33,"","","",53/72,20/26,33/46,"","","",31/38,13/16,18/22,"","","",40/53,17/20,23/33,"","","",12/22,4/11,8/11,"","","",12/19,3/6,9/13,"","","",3/4,2/3,1/1,"","","",2/2,0/0,2/2,"","","",10,4,6,,,,11,5,6,,,,62,65,61,,,,98,141,45,,,,13/53,3/20,10/33,"","","",7/38,3/16,4/22,"","","",7/19,3/6,4/13,"","","",10/22,7/11,3/11,"","","",0/2,0/0,0/2,"","","",1/4,1/3,0/1,"","","",43/60,17/27,26/33,"","","",52/72,20/26,32/46,"","","",20/72,6/26,14/46,"","","",17/60,10/27,7/33,"","","",63/132,23/53,40/79,"","","",69/132,30/53,39/79,"","",""
2022,352,2022/352/MS005,2022-10-31,Hard,Court Central,Quarterfinal,Rolex Paris Masters,Paris,56,Frances Tiafoe,Felix Auger-Aliassime,"6-1, 6-4",01:33:08,6,3,3,,,,8,3,5,,,,3,1,2,,,,0,0,0,,,,231,169,256,,,,316,335,299,,,,39/69,9/20,30/49,"","","",36/50,13/18,23/32,"","","",24/39,4/9,20/30,"","","",31/36,13/13,18/23,"","","",14/30,5/11,9/19,"","","",7/14,3/5,4/9,"","","",11/14,4/6,7/8,"","","",0/0,0/0,0/0,"","","",8,3,5,,,,9,4,5,,,,64,40,78,,,,149,210,119,,,,5/36,0/13,5/23,"","","",15/39,5/9,10/30,"","","",7/14,2/5,5/9,"","","",16/30,6/11,10/19,"","","",0/0,0/0,0/0,"","","",3/14,2/6,1/8,"","","",38/69,9/20,29/49,"","","",38/50,16/18,22/32,"","","",12/50,2/18,10/32,"","","",31/69,11/20,20/49,"","","",50/119,11/38,39/81,"","","",69/119,27/38,42/81,"","",""
2022,352,2022/352/MS006,2022-10-31,Hard,Court Central,Quarterfinal,Rolex Paris Masters,Paris,56,Lorenzo Musetti,Novak Djokovic,"6-0, 6-3",01:14:03,2,0,2,,,,3,1,2,,,,2,1,1,,,,0,0,0,,,,175,116,207,,,,296,322,279,,,,33/53,14/19,19/34,"","","",21/38,7/14,14/24,"","","",15/33,6/14,9/19,"","","",18/21,7/7,11/14,"","","",8/20,0/5,8/15,"","","",11/17,5/7,6/10,"","","",6/11,2/5,4/6,"","","",0/1,0/0,0/1,"","","",7,3,4,,,,8,3,5,,,,161,29,181,,,,231,317,183,,,,3/21,0/7,3/14,"","","",18/33,8/14,10/19,"","","",6/17,2/7,4/10,"","","",12/20,5/5,7/15,"","","",1/1,0/0,1/1,"","","",5/11,3/5,2/6,"","","",23/53,6/19,17/34,"","","",29/38,12/14,17/24,"","","",9/38,2/14,7/24,"","","",30/53,13/19,17/34,"","","",32/91,8/33,24/58,"","","",59/91,25/33,34/58,"","",""
2022,352,2022/352/MS007,2022-10-31,Hard,Court Central,Quarterfinal,Rolex Paris Masters,Paris,56,Tommy Paul,Stefanos Tsitsipas,"6-2, 6-4",01:16:36,2,1,1,,,,2,1,1,,,,2,2,0,,,,1,1,0,,,,244,186,296,,,,301,300,302,,,,26/41,10/19,16/22,"","","",41/63,23/33,18/30,"","","",16/26,4/10,12/16,"","","",31/41,16/23,15/18,"","","",8/15,4/9,4/6,"","","",13/22,6/10,7/12,"","","",0/3,0/2,0/1,"","","",7/7,7/7,0/0,"","","",9,4,5,,,,9,4,5,,,,65,70,59,,,,218,266,178,,,,10/41,7/23,3/18,"","","",10/26,6/10,4/16,"","","",9/22,4/10,5/12,"","","",7/15,5/9,2/6,"","","",0/7,0/7,0/0,"","","",3/3,2/2,1/1,"","","",24/41,8/19,16/22,"","","",44/63,22/33,22/30,"","","",19/63,11/33,8/30,"","","",17/41,11/19,6/22,"","","",43/104,19/52,24/52,"","","",61/104,33/52,28/52,"","",""
2022,352,2022/352/MS008,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Grigor Dimitrov,Carlos Alcaraz,"6-1, 6-3",01:11:56,3,2,1,,,,1,0,1,,,,2,2,0,,,,3,1,2,,,,191,166,226,,,,273,335,248,,,,41/59,16/29,25/30,"","","",30/47,10/14,20/33,"","","",23/41,10/16,13/25,"","","",23/30,9/10,14/20,"","","",5/18,3/13,2/5,"","","",8/17,3/4,5/13,"","","",2/7,1/4,1/3,"","","",3/4,0/0,3/4,"","","",8,4,4,,,,8,3,5,,,,113,35,137,,,,249,265,225,,,,7/30,1/10,6/20,"","","",18/41,6/16,12/25,"","","",9/17,1/4,8/13,"","","",13/18,10/13,3/5,"","","",1/4,0/0,1/4,"","","",5/7,3/4,2/3,"","","",28/59,13/29,15/30,"","","",31/47,12/14,19/33,"","","",16/47,2/14,14/33,"","","",31/59,16/29,15/30,"","","",44/106,15/43,29/63,"","","",62/106,28/43,34/63,"","",""
2022,352,2022/352/MS009,2022-10-31,Hard,Court 1,Round of 16,Rolex Paris Masters,Paris,56,Andrey Rublev,Holger Rune,"6-4, 7-5",01:29:51,9,3,6,,,,7,3,4,,,,0,0,0,,,,4,4,0,,,,280,277,276,,,,303,287,323,,,,41/63,23/32,18/31,"","","",40/72,17/37,23/35,"","","",33/41,18/23,15/18,"","","",30/40,14/17,16/23,"","","",10/22,4/9,6/13,"","","",22/32,12/20,10/12,"","","",1/3,1/2,0/1,"","","",6/6,4/4,2/2,"","","",11,5,6,,,,11,5,6,,,,56,58,47,,,,160,148,187,,,,10/40,3/17,7/23,"","","",8/41,5/23,3/18,"","","",10/32,8/20,2/12,"","","",12/22,5/9,7/13,"","","",0/6,0/4,0/2,"","","",2/3,1/2,1/1,"","","",43/63,22/32,21/31,"","","",52/72,26/37,26/35,"","","",20/72,11/37,9/35,"","","",20/63,10/32,10/31,"","","",63/135,33/69,30/66,"","","",72/135,36/69,36/66,"","",""
2022,352,2022/352/MS010,2022-10-31,Hard,Court 1,Round of 16,Rolex Paris Masters,Paris,56,Alex de Minaur,Frances Tiafoe,"6-3, 7-6",01:40:35,7,3,4,,,,14,6,8,,,,1,0,1,,,,3,1,2,,,,258,253,258,,,,285,299,266,,,,35/62,12/24,23/38,"","","",45/77,21/36,24/41,"","","",29/35,11/12,18/23,"","","",33/45,16/21,17/24,"","","",9/27,4/12,5/15,"","","",17/32,9/15,8/17,"","","",5/7,4/5,1/2,"","","",4/5,3/3,1/2,"","","",10,4,6,,,,11,5,6,,,,103,64,148,,,,133,120,155,,,,12/45,5/21,7/24,"","","",6/35,1/12,5/23,"","","",15/32,6/15,9/17,"","","",18/27,8/12,10/15,"","","",1/5,0/3,1/2,"","","",2/7,1/5,1/2,"","","",38/62,15/24,23/38,"","","",50/77,25/36,25/41,"","","",27/77,11/36,16/41,"","","",24/62,9/24,15/38,"","","",65/139,26/60,39/79,"","","",74/139,34/60,40/79,"","",""
2022,352,2022/352/MS011,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Gilles Simon,Felix Auger-Aliassime,"6-1, 6-3",01:33:26,2,1,1,,,,11,7,4,,,,0,0,0,,,,3,0,3,,,,207,177,227,,,,304,320,282,,,,31/55,9/21,22/34,"","","",36/53,17/21,19/32,"","","",19/31,6/9,13/22,"","","",27/36,14/17,13/19,"","","",9/24,4/12,5/12,"","","",9/17,2/4,7/13,"","","",3/7,3/5,0/2,"","","",2/2,0/0,2/2,"","","",8,3,5,,,,8,4,4,,,,72,68,78,,,,209,206,239,,,,9/36,3/17,6/19,"","","",12/31,3/9,9/22,"","","",8/17,2/4,6/13,"","","",15/24,8/12,7/12,"","","",0/2,0/0,0/2,"","","",4/7,2/5,2/2,"","","",28/55,10/21,18/34,"","","",36/53,16/21,20/32,"","","",17/53,5/21,12/32,"","","",27/55,11/21,16/34,"","","",45/108,15/42,30/66,"","","",63/108,27/42,36/66,"","",""
2022,352,2022/352/MS012,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Karen Khachanov,Novak Djokovic,"6-4, 6-1",01:27:03,2,2,0,,,,2,1,1,,,,2,2,0,,,,3,3,0,,,,196,218,165,,,,286,257,329,,,,36/57,22/33,14/24,"","","",28/48,12/26,16/22,"","","",23/36,14/22,9/14,"","","",24/28,10/12,14/16,"","","",4/21,3/11,1/10,"","","",11/20,7/14,4/6,"","","",4/8,3/5,1/3,"","","",0/1,0/1,0/0,"","","",8,5,3,,,,9,5,4,,,,170,187,46,,,,217,189,259,,,,4/28,2/12,2/16,"","","",13/36,8/22,5/14,"","","",9/20,7/14,2/6,"","","",17/21,8/11,9/10,"","","",1/1,1/1,0/0,"","","",4/8,2/5,2/3,"","","",27/57,17/33,10/24,"","","",35/48,17/26,18/22,"","","",13/48,9/26,4/22,"","","",30/57,16/33,14/24,"","","",40/105,26/59,14/46,"","","",65/105,33/59,32/46,"","",""
2022,352,2022/352/MS013,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Casper Ruud,Lorenzo Musetti,"4-6, 6-4, 6-4",02:19:23,2,0,1,1,,,4,3,0,1,,,2,1,0,1,,,1,0,0,1,,,268,297,235,265,,,302,282,281,343,,,55/91,20/34,18/26,17/31,"","",56/78,17/27,20/27,19/24,"","",37/55,15/20,12/18,10/17,"","",43/56,13/17,14/20,16/19,"","",22/36,9/14,3/8,10/14,"","",14/22,6/10,4/7,4/5,"","",4/7,2/2,1/3,1/2,"","",1/3,0/1,1/2,0/0,"","",15,5,5,5,,,15,5,5,5,,,139,184,143,36,,,135,61,203,140,,,13/56,4/17,6/20,3/19,"","",18/55,5/20,6/18,7/17,"","",8/22,4/10,3/7,1/5,"","",14/36,5/14,5/8,4/14,"","",2/3,1/1,1/2,0/0,"","",3/7,0/2,2/3,1/2,"","",59/91,24/34,15/26,20/31,"","",57/78,19/27,18/27,20/24,"","",21/78,8/27,9/27,4/24,"","",32/91,10/34,11/26,11/31,"","",80/169,32/61,24/53,24/55,"","",89/169,29/61,29/53,31/55,"",""
2022,352,2022/352/MS014,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Corentin Moutet,Stefanos Tsitsipas,"6-3, 7-6",01:38:19,3,2,1,,,,3,1,2,,,,3,2,1,,,,0,0,0,,,,283,271,292,,,,319,333,304,,,,44/67,17/25,27/42,"","","",33/58,11/22,22/36,"","","",33/44,11/17,22/27,"","","",30/33,10/11,20/22,"","","",12/23,5/8,7/15,"","","",17/25,10/11,7/14,"","","",5/6,2/3,3/3,"","","",0/0,0/0,0/0,"","","",10,4,6,,,,11,5,6,,,,41,18,59,,,,100,131,72,,,,3/33,1/11,2/22,"","","",11/44,6/17,5/27,"","","",8/25,1/11,7/14,"","","",11/23,3/8,8/15,"","","",0/0,0/0,0/0,"","","",1/6,1/3,0/3,"","","",45/67,16/25,29/42,"","","",47/58,20/22,27/36,"","","",11/58,2/22,9/36,"","","",22/67,9/25,13/42,"","","",56/125,18/47,38/78,"","","",69/125,29/47,40/78,"","",""
2022,352,2022/352/MS015,2022-10-31,Hard,Court Central,Round of 16,Rolex Paris Masters,Paris,56,Pablo Carreno Busta,Tommy Paul,"6-4, 6-4",01:19:10,3,1,2,,,,4,1,3,,,,0,0,0,,,,0,0,0,,,,244,285,214,,,,305,325,284,,,,52/64,29/33,23/31,"","","",38/57,19/27,19/30,"","","",34/52,19/29,15/23,"","","",29/38,15/19,14/19,"","","",3/12,2/4,1/8,"","","",13/19,6/8,7/11,"","","",9/12,5/6,4/6,"","","",0/1,0/0,0/1,"","","",10,5,5,,,,10,5,5,,,,166,46,182,,,,165,121,196,,,,9/38,4/19,5/19,"","","",18/52,10/29,8/23,"","","",6/19,2/8,4/11,"","","",9/12,2/4,7/8,"","","",1/1,0/0,1/1,"","","",3/12,1/6,2/6,"","","",37/64,21/33,16/31,"","","",42/57,21/27,21/30,"","","",15/57,6/27,9/30,"","","",27/64,12/33,15/31,"","","",52/121,27/60,25/61,"","","",69/121,33/60,36/61,"","",""
2022,352,2022/352/MS016,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Yoshihito Nishioka,Carlos Alcaraz,"6-4, 6-4",01:12:47,0,0,0,,,,9,2,7,,,,0,0,0,,,,1,1,0,,,,254,245,265,,,,324,285,358,,,,41/59,23/30,18/29,"","","",34/46,17/24,17/22,"","","",29/41,15/23,14/18,"","","",29/34,13/17,16/17,"","","",8/18,3/7,5/11,"","","",8/12,4/7,4/5,"","","",3/6,2/4,1/2,"","","",0/1,0/1,0/0,"","","",10,5,5,,,,10,5,5,,,,158,187,26,,,,165,182,147,,,,5/34,4/17,1/17,"","","",12/41,8/23,4/18,"","","",4/12,3/7,1/5,"","","",10/18,4/7,6/11,"","","",1/1,1/1,0/0,"","","",3/6,2/4,1/2,"","","",37/59,18/30,19/29,"","","",37/46,17/24,20/22,"","","",9/46,7/24,2/22,"","","",22/59,12/30,10/29,"","","",46/105,25/54,21/51,"","","",59/105,29/54,30/51,"","",""
2022,352,2022/352/MS017,2022-10-31,Hard,Court 1,Round of 32,Rolex Paris Masters,Paris,56,Fabio Fognini,Grigor Dimitrov,"6-0, 7-5",01:30:52,2,0,2,,,,5,1,4,,,,4,2,2,,,,0,0,0,,,,200,135,243,,,,297,329,279,,,,54/87,24/40,30/47,"","","",29/47,8/14,21/33,"","","",29/54,11/24,18/30,"","","",25/29,7/8,18/21,"","","",14/33,5/16,9/17,"","","",10/18,5/6,5/12,"","","",14/19,8/11,6/8,"","","",1/2,0/0,1/2,"","","",9,3,6,,,,9,3,6,,,,119,30,138,,,,185,250,145,,,,4/29,1/8,3/21,"","","",25/54,13/24,12/30,"","","",8/18,1/6,7/12,"","","",19/33,11/16,8/17,"","","",1/2,0/0,1/2,"","","",5/19,3/11,2/8,"","","",43/87,16/40,27/47,"","","",35/47,12/14,23/33,"","","",12/47,2/14,10/33,"","","",44/87,24/40,20/47,"","","",55/134,18/54,37/80,"","","",79/134,36/54,43/80,"","",""
2022,352,2022/352/MS018,2022-10-31,Hard,Court 1,Round of 32,Rolex Paris Masters,Paris,56,Hubert Hurkacz,Holger Rune,"7-5, 6-1",01:04:27,10,5,5,,,,3,3,0,,,,4,1,3,,,,1,1,0,,,,237,278,168,,,,320,312,322,,,,31/60,19/36,12/24,"","","",38/49,27/33,11/16,"","","",22/31,15/19,7/12,"","","",29/38,21/27,8/11,"","","",14/29,10/17,4/12,"","","",7/11,3/6,4/5,"","","",4/8,2/3,2/5,"","","",0/0,0/0,0/0,"","","",10,6,4,,,,9,6,3,,,,60,72,47,,,,171,111,244,,,,9/38,6/27,3/11,"","","",9/31,4/19,5/12,"","","",4/11,3/6,1/5,"","","",15/29,7/17,8/12,"","","",0/0,0/0,0/0,"","","",4/8,1/3,3/5,"","","",36/60,25/36,11/24,"","","",36/49,24/33,12/16,"","","",13/49,9/33,4/16,"","","",24/60,11/36,13/24,"","","",49/109,34/69,15/40,"","","",60/109,35/69,25/40,"","",""
2022,352,2022/352/MS019,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,John Isner,Andrey Rublev,"6-2, 6-3",01:01:33,11,7,4,,,,4,3,1,,,,0,0,0,,,,2,2,0,,,,228,217,227,,,,310,301,315,,,,44/56,27/34,17/22,"","","",31/48,14/22,17/26,"","","",26/44,14/27,12/17,"","","",26/31,12/14,14/17,"","","",2/12,2/7,0/5,"","","",10/17,4/8,6/9,"","","",4/7,4/6,0/1,"","","",0/0,0/0,0/0,"","","",8,4,4,,,,9,4,5,,,,57,64,51,,,,204,202,254,,,,5/31,2/14,3/17,"","","",18/44,13/27,5/17,"","","",7/17,4/8,3/9,"","","",10/12,5/7,5/5,"","","",0/0,0/0,0/0,"","","",3/7,2/6,1/1,"","","",28/56,16/34,12/22,"","","",36/48,16/22,20/26,"","","",12/48,6/22,6/26,"","","",28/56,18/34,10/22,"","","",40/104,22/56,18/48,"","","",64/104,34/56,30/48,"","",""
2022,352,2022/352/MS020,2022-10-31,Hard,Court Central,Round of 32,Rolex Paris Masters,Paris,56,Daniil Medvedev,Alex de Minaur,"6-4, 2-6, 7-5",02:46:23,10,1,5,4,,,1,1,0,0,,,2,0,1,1,,,1,1,0,0,,,271,265,295,245,,,258,294,205,270,,,65/102,21/33,14/26,30/43,"","",62/105,17/28,21/36,24/41,"","",42/65,13/21,11/14,18/30,"","",42/62,15/17,12/21,15/24,"","",20/37,7/12,7/12,6/13,"","",22/43,5/11,6/15,11/17,"","",7/10,3/4,1/1,3/5,"","",12/15,0/0,7/9,5/6,"","",15,5,4,6,,,15,5,4,6,,,121,67,175,106,,,131,125,63,167,,,20/62,2/17,9/21,9/24,"","",23/65,8/21,3/14,12/30,"","",21/43,6/11,9/15,6/17,"","",17/37,5/12,5/12,7/13,"","",3/15,0/0,2/9,1/6,"","",3/10,1/4,0/1,2/5,"","",62/102,20/33,18/26,24/43,"","",64/105,20/28,18/36,26/41,"","",41/105,8/28,18/36,15/41,"","",40/102,13/33,8/26,19/43,"","",103/207,28/61,36/62,39/84,"","",104/207,33/61,26/62,45/84,"",""
2022,352,2022/352/MS021,2022-10-31,Hard,Court 1,Round of 32,Rolex Paris Masters,Paris,56,Jack Draper,Frances Tiafoe,"6-3, 7-5",01:24:51,11,6,5,,,,7,1,6,,,,1,1,0,,,,1,0,1,,,,281,260,291,,,,301,296,298,,,,37/58,17/29,20/29,"","","",42/70,19/31,23/39,"","","",33/37,15/17,18/20,"","","",34/42,16/19,18/23,"","","",8/21,4/12,4/9,"","","",15/28,6/12,9/16,"","","",3/5,2/3,1/2,"","","",7/7,2/2,5/5,"","","",10,4,6,,,,11,5,6,,,,65,66,66,,,,133,137,132,,,,8/42,3/19,5/23,"","","",4/37,2/17,2/20,"","","",13/28,6/12,7/16,"","","",13/21,8/12,5/9,"","","",0/7,0/2,0/5,"","","",2/5,1/3,1/2,"","","",41/58,19/29,22/29,"","","",49/70,22/31,27/39,"","","",21/70,9/31,12/39,"","","",17/58,10/29,7/29,"","","",62/128,28/60,34/68,"","","",66/128,32/60,34/68,"","",""
